compound,ra,rb,fe,bg,a,b,c,shape
SiHgO3,0.4,1.11,0.311,0.0,4.114,4.114,4.114,cubic
AuGdO3,0.93,0.94,-1.073,0.0,4.367,4.367,4.367,cubic
OsNdO3,0.57,0.98,-0.262,0.0,4.438,4.438,4.438,cubic
NpHgO3,0.98,1.11,-1.405,0.0,4.216,4.216,4.216,cubic
HoReO3,1.12,0.63,-1.879,0.0,3.941,3.941,3.941,cubic
AsPrO3,0.58,0.85,-0.966,0.0,4.484,4.484,4.484,cubic
USiO3,1.17,0.4,-2.462,0.0,3.771,3.771,3.771,cubic
AsBeO3,0.52,0.45,-1.008,0.0,3.477,3.477,3.477,cubic
SrCaO3,1.44,1.0,-1.973,0.0,4.294,4.294,4.294,cubic
EuCaO3,1.48,1.0,-2.078,0.0,4.232,4.232,4.232,cubic
SbBiO3,0.68,0.9,-0.646,0.0,4.317,4.317,4.317,cubic
AuGaO3,0.93,0.62,-0.475,0.0,3.843,3.843,3.843,cubic
InIrO3,0.92,0.57,-0.763,0.0,3.956,3.956,3.956,cubic
CsErO3,1.88,0.89,-2.133,0.0,4.483,4.483,4.483,cubic
BeBaO3,0.45,1.35,0.174,0.0,4.531,4.531,4.531,cubic
NpSrO3,0.98,1.18,-1.957,0.0,4.397,4.397,4.397,cubic
TeHfO3,0.97,0.71,-2.079,0.0,4.122,4.122,4.122,cubic
ThGdO3,1.21,0.94,-2.825,0.0,4.336,4.336,4.336,cubic
USnO3,1.03,0.69,-1.988,0.0,4.112,4.112,4.112,cubic
UPrO3,1.03,0.99,-2.348,0.0,4.513,4.513,4.513,cubic
IrYO3,0.68,0.9,-0.617,0.0,4.292,4.292,4.292,cubic
GdThO3,1.11,0.94,-2.822,0.0,4.552,4.552,4.552,cubic
PtCrO3,0.67,0.58,-0.692,0.0,3.781,3.781,3.781,cubic
